"","treatment","site","kg_N_soil_total"
"1","maize","APP4",476.704816890771
"2","maize","APP5",337.691887479366
"3","maize","MT5?",1220.1405676771
"4","maize","T110",981.670111971556
"5","soy","APP1",2143.13141892686
"6","soy","Cascavel",286.645906693666
"7","soy","Nascente",287.745419959517
"8","soy","T179",323.697006829741
"9","forest","APP2",35.7512107610582
"10","forest","APP2a",204.059157542481
"11","forest","APPM",27.1539341689515
"12","forest","C-N",120.098144394174
